SN,CPU Temp. [C],CPU % Load,Virtual Memory [mB] (%)
0,40.084,27.3,Used: 123.1/925.8 (18.9)
1,39.546,3.6,Used: 123.1/925.8 (18.9)
2,39.546,3.3,Used: 123.2/925.8 (18.9)
3,40.622,2.9,Used: 123.2/925.8 (18.9)
4,40.084,1.9,Used: 123.2/925.8 (18.9)
5,40.084,3.1,Used: 123.2/925.8 (18.9)
6,40.084,3.1,Used: 123.2/925.8 (18.9)
7,40.622,2.3,Used: 123.2/925.8 (18.9)
8,40.084,3.5,Used: 123.2/925.8 (18.9)
9,40.084,3.8,Used: 123.2/925.8 (18.9)
10,40.084,3.1,Used: 123.3/925.8 (18.9)
11,39.546,3.1,Used: 123.3/925.8 (18.9)
12,40.622,3.1,Used: 123.3/925.8 (18.9)
13,40.084,1.6,Used: 123.3/925.8 (18.9)
14,40.084,3.3,Used: 123.3/925.8 (18.9)
15,40.084,3.3,Used: 123.3/925.8 (18.9)
16,40.084,4.0,Used: 123.3/925.8 (18.9)
17,40.084,3.3,Used: 123.3/925.8 (18.9)
18,40.084,3.5,Used: 123.3/925.8 (18.9)
19,39.546,3.1,Used: 123.3/925.8 (18.9)
20,40.084,3.1,Used: 123.3/925.8 (18.9)
21,40.084,3.1,Used: 123.3/925.8 (18.9)
22,40.084,3.3,Used: 123.3/925.8 (18.9)
23,40.084,2.9,Used: 123.3/925.8 (18.9)
24,40.084,3.1,Used: 123.3/925.8 (18.9)
25,40.084,3.3,Used: 123.3/925.8 (18.9)
26,40.084,2.9,Used: 123.3/925.8 (18.9)
27,39.546,3.1,Used: 123.3/925.8 (18.9)
28,40.084,3.5,Used: 123.3/925.8 (18.9)
29,40.622,3.1,Used: 123.3/925.8 (18.9)
30,41.16,1.9,Used: 123.3/925.8 (18.9)
31,40.084,2.7,Used: 123.3/925.8 (18.9)
32,40.622,2.9,Used: 123.3/925.8 (18.9)
